Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location ID,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Observation Details,Checklist Comments,ML Catalog Numbers
S112483638,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L19537514,CRAD,-15.7713834,-47.8682477,2018-03-23,,Historical,,1,,,,,,Lista de Mackinnon: autor: Debora Tonelli; Ambiente: urbano; Local: CRAD.
S225648822,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L19537514,CRAD,-15.7713834,-47.8682477,2025-04-08,04:30 PM,eBird - Traveling Count,30,1,1.,,4,,,"Marília Lima, Roberto Cavalcanti, Bianca Ferreira e Fernanda Santos"
S223745323,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42261996,Campus UnB Darcy Ribeiro frente ao beijodromo,-15.7627031,-47.8648875,2025-03-25,05:30 PM,eBird - Traveling Count,30,1,.5,,2,,,Marília Lima e Roberto Cavalcanti
S225652984,pomba-asa-branca,Patagioenas picazuro,1912,1,BR-DF,Brasília,L42655859,Cerrado Casa do estudante,-15.7647714,-47.8563324,2025-04-09,07:50 AM,eBird - Stationary Count,30,1,,,2,,,Marília Lima e Roberto Cavalcanti
S109131074,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18878806,Fazenda Água Limpa-UnB,-15.9466294,-47.9336286,2019-06-02,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Isadora Turella; Ambiente: natural; Local: FAL.
S112292466,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L19495875,Flona,-15.7864721,-48.057847,2022-06-04,,Historical,,1,,,,,,"Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: flona. obs: Há muitos eucaliptos e pinheiros na flona, mas com áreas de cerrado preservado."
S108537654,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-03-18,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: Natural; Local: IBGE.
S114038568,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-06-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Antônio Moraes; Ambiente: natural; Local: IBGE.
S116123148,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-07-29,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: Reserva Ecológica do IBGE.
S120034387,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L18776614,IBGE,-15.947532,-47.8785501,2022-10-05,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Pedro Sisnando; Ambiente: natural; Local: IBGE.
S108538756,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2022-03-19,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Paola; Ambiente: Natural; Local: JBB.
S108539611,pomba-asa-branca,Patagioenas picazuro,1912,X,BR-DF,Brasília,L3114185,Jardim Botânico de Brasília,-15.8760661,-47.8323269,2022-03-19,,Historical,,1,,,,,,Lista de Mackinnon: Autor: Paola; Ambiente: Natural; Local: JBB.
